Gene ID	Gene Name	SRR7153131	SRR7153130	SRR7153129	SRR7153128	SRR7153127	SRR7153126
Zm00001eb000010		43	38	69	54	58	50
Zm00001eb000020		808	993	1268	461	1093	687
Zm00001eb000030		1	0	0	0	0	0
Zm00001eb000040		0	0	1	0	0	0
Zm00001eb000050		0	0	0	0	0	0
Zm00001eb000060		361	338	248	124	176	174
Zm00001eb000070		1	2	0	49	22	42
Zm00001eb000080		2298	1720	2048	1457	1203	1851
Zm00001eb000090		95	77	66	60	65	76
Zm00001eb000100		0	0	0	0	0	0
Zm00001eb000110		0	0	0	0	0	0
Zm00001eb000120		1	0	1	0	2	0
Zm00001eb000130		0	0	0	2	1	0
Zm00001eb000140		0	0	0	0	0	0
Zm00001eb000150		0	0	1	0	1	3
Zm00001eb000160		0	0	0	0	0	0
Zm00001eb000170		164	240	206	117	152	141
Zm00001eb000180		0	0	0	0	0	0
Zm00001eb000190		693	975	1143	498	969	756
Zm00001eb000200		0	0	0	0	0	0
Zm00001eb000210		142	132	208	85	151	144
Zm00001eb000220		88	108	140	75	124	99
Zm00001eb000230		356	470	455	373	371	412
Zm00001eb000240		5	14	10	5	10	4
Zm00001eb000250		0	0	0	0	0	0
Zm00001eb000260		0	0	0	0	0	0
Zm00001eb000270		8	10	6	11	20	25
Zm00001eb000280		1	2	7	3	2	3
Zm00001eb000290		0	0	0	0	0	0
Zm00001eb000300		58	68	79	27	27	41
Zm00001eb000310		42	65	64	16	21	33
Zm00001eb000320		717	866	922	492	921	727
Zm00001eb000330		128	161	243	56	186	115
Zm00001eb000340		3400	4074	4031	1602	2103	2324
Zm00001eb000350		0	0	0	0	0	0
Zm00001eb000360		0	0	0	0	0	0
Zm00001eb000370		0	0	0	0	0	0
Zm00001eb000380		1	13	16	6	65	5
Zm00001eb000390		0	0	0	0	0	0
Zm00001eb000400		0	0	0	0	0	0
Zm00001eb000410		0	0	0	0	0	0
Zm00001eb000420		1358	1384	1689	464	1451	829
Zm00001eb000430		0	0	0	0	0	0
Zm00001eb000440		0	2	2	0	7	0
Zm00001eb000450		1	7	15	6	56	8
Zm00001eb000460		0	0	0	0	0	0
Zm00001eb000470		0	0	0	0	0	0
Zm00001eb000480		2870	3173	3694	2306	2621	3327
Zm00001eb000490		1017	684	1617	470	2060	828
Zm00001eb000500		179	214	216	121	215	165
Zm00001eb000510		5	4	2	3	6	6
Zm00001eb000520		1674	2155	2386	1060	1148	1363
Zm00001eb000530		0	0	0	0	0	0
Zm00001eb000540		1	2	5	0	2	1
Zm00001eb000550		1233	1068	990	401	461	559
Zm00001eb000560		0	0	0	0	0	0
Zm00001eb000570		4	12	8	2	7	5
Zm00001eb000580		0	0	0	0	0	0
Zm00001eb000590		547	589	704	262	495	385
Zm00001eb000600		0	0	0	0	0	0
Zm00001eb000610		0	0	0	0	0	0
Zm00001eb000620		290	239	337	156	264	195
Zm00001eb000630		100	47	185	4	113	25
Zm00001eb000640		76	52	105	29	51	34
Zm00001eb000650		303	246	272	157	200	208
Zm00001eb000660		0	0	0	0	0	0
Zm00001eb000670		210	239	244	123	146	134
Zm00001eb000680		9	4	9	6	10	12
Zm00001eb000690		270	240	277	128	286	203
Zm00001eb000700		2578	2206	3301	656	2190	1256
Zm00001eb000710		331	297	369	182	199	259
Zm00001eb000720		37	26	36	4	22	11
Zm00001eb000730		0	0	0	0	0	0
Zm00001eb000740		61	78	98	36	67	52
Zm00001eb000750		6	14	6	5	10	10
Zm00001eb000760		2	0	1	0	1	4
Zm00001eb000770		798	658	655	252	584	428
Zm00001eb000780		688	700	699	351	751	520
Zm00001eb000790		78	63	80	41	68	41
Zm00001eb000800		1321	1389	1462	490	1146	845
Zm00001eb000810		0	0	0	0	0	0
Zm00001eb000820		1746	1951	1805	1137	1124	1194
Zm00001eb000830		0	0	0	0	0	1
Zm00001eb000840		0	8	2	18	10	6
Zm00001eb000850		11	41	33	70	75	50
Zm00001eb000860		1391	1809	1669	680	1021	922
Zm00001eb000870		327	413	517	174	331	391
Zm00001eb000880		0	1	0	2	2	1
Zm00001eb000890		414	198	412	221	362	254
Zm00001eb000900		110	60	79	58	89	73
Zm00001eb000910		151	140	198	80	124	127
Zm00001eb000920		1185	1473	1257	601	888	805
Zm00001eb000930		0	0	0	0	0	0
