"go_id","go_desc","gene_count","up_count","down_count"
"GO:0016021","integral component of membrane",720,299,421
"GO:0005634","nucleus",276,130,146
"GO:0005524","ATP binding",202,87,115
"GO:0005737","cytoplasm",179,80,99
"GO:0005886","plasma membrane",165,60,105
"GO:0046872","metal ion binding",156,60,96
"GO:0005515","protein binding",129,56,73
"GO:0005829","cytosol",118,44,74
"GO:0003677","DNA binding",108,51,57
"GO:0006468","protein phosphorylation",103,52,51
"GO:0006355","regulation of transcription, DNA-templated",99,42,57
"GO:0009507","chloroplast",96,27,69
"GO:0004672","protein kinase activity",91,48,43
"GO:0055114","oxidation-reduction process",89,18,71
"GO:0016020","membrane",85,31,54
"GO:0016787","hydrolase activity",79,33,46
"GO:0003700","DNA-binding transcription factor activity",66,27,39
"GO:0016491","oxidoreductase activity",64,11,53
"GO:0003723","RNA binding",51,27,24
"GO:0005739","mitochondrion",51,21,30
"GO:0005975","carbohydrate metabolic process",51,10,41
"GO:0055085","transmembrane transport",51,16,35
"GO:0016301","kinase activity",50,21,29
"GO:0003824","catalytic activity",49,11,38
"GO:0016310","phosphorylation",49,19,30
"GO:0003676","nucleic acid binding",43,22,21
"GO:0006952","defense response",43,15,28
"GO:0005783","endoplasmic reticulum",40,18,22
"GO:0004674","protein serine/threonine kinase activity",38,21,17
"GO:0006508","proteolysis",38,13,25
"GO:0008270","zinc ion binding",38,14,24
"GO:0005576","extracellular region",37,15,22
"GO:0005794","Golgi apparatus",36,12,24
"GO:0016567","protein ubiquitination",36,20,16
"GO:0016874","ligase activity",36,18,18
"GO:0016740","transferase activity",35,11,24
"GO:0009506","plasmodesma",32,16,16
"GO:0043231","intracellular membrane-bounded organelle",32,8,24
"GO:0009570","chloroplast stroma",31,6,25
"GO:0005840","ribosome",29,14,15
"GO:0009536","plastid",29,9,20
"GO:0043565","sequence-specific DNA binding",29,8,21
"GO:0032259","methylation",28,11,17
"GO:0045735","nutrient reservoir activity",28,2,26
"GO:0003729","mRNA binding",27,12,15
"GO:0005509","calcium ion binding",27,14,13
"GO:0003735","structural constituent of ribosome",26,14,12
"GO:0005789","endoplasmic reticulum membrane",26,3,23
"GO:0009409","response to cold",26,13,13
"GO:0005774","vacuolar membrane",25,3,22
"GO:0008168","methyltransferase activity",25,9,16
"GO:0005525","GTP binding",24,13,11
"GO:0020037","heme binding",24,8,16
"GO:0003924","GTPase activity",23,12,11
"GO:0005618","cell wall",23,10,13
"GO:0009737","response to abscisic acid",22,7,15
"GO:0022857","transmembrane transporter activity",22,6,16
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",21,3,18
"GO:0006412","translation",21,10,11
"GO:0042742","defense response to bacterium",21,7,14
"GO:0005768","endosome",20,10,10
"GO:0006629","lipid metabolic process",20,7,13
"GO:0009941","chloroplast envelope",20,5,15
"GO:0012505","endomembrane system",20,10,10
"GO:0005773","vacuole",19,7,12
"GO:0007165","signal transduction",19,13,6
"GO:0048046","apoplast",19,3,16
"GO:0051301","cell division",19,6,13
"GO:0006470","protein dephosphorylation",18,9,9
"GO:0006511","ubiquitin-dependent protein catabolic process",18,10,8
"GO:0009734","auxin-activated signaling pathway",18,6,12
"GO:0016829","lyase activity",18,5,13
"GO:0018212","peptidyl-tyrosine modification",18,7,11
"GO:0035556","intracellular signal transduction",18,12,6
"GO:0005802","trans-Golgi network",17,8,9
"GO:0006979","response to oxidative stress",17,8,9
"GO:0009611","response to wounding",17,5,12
"GO:0016757","glycosyltransferase activity",17,6,11
"GO:0030246","carbohydrate binding",17,3,14
"GO:0061630","ubiquitin protein ligase activity",17,11,6
"GO:0071555","cell wall organization",17,9,8
"GO:0098869","cellular oxidant detoxification",17,8,9
"GO:0106306","protein serine phosphatase activity",17,8,9
"GO:0106307","protein threonine phosphatase activity",17,8,9
"GO:0106310","protein serine kinase activity",17,10,7
"GO:0106311","protein threonine kinase activity",17,10,7
"GO:0001067","transcription regulatory region nucleic acid binding",16,7,9
"GO:0005506","iron ion binding",16,4,12
"GO:0008289","lipid binding",16,2,14
"GO:0009651","response to salt stress",16,6,10
"GO:0016311","dephosphorylation",16,8,8
"GO:0016746","acyltransferase activity",16,8,8
"GO:0031984","organelle subcompartment",16,4,12
"GO:0046686","response to cadmium ion",16,5,11
"GO:0050790","regulation of catalytic activity",16,9,7
"GO:0070013","intracellular organelle lumen",16,7,9
"GO:0000139","Golgi membrane",15,9,6
"GO:0005516","calmodulin binding",15,10,5
